"","text_id","lemma","n_tokens","year","genre","subgenre","word_count","random_id"
"4016480",5002719,"define",1,2019,"FIC","FIC_Gen__Jrnl_",4616,82
"4029142",5002865,"define",1,2018,"FIC","FIC_Gen__Jrnl_",8635,55
"4030620",5002879,"define",1,2018,"FIC","FIC_Gen__Jrnl_",4525,43
"4030783",5002880,"define",1,2018,"FIC","FIC_Gen__Jrnl_",10401,15
"4031069",5002882,"define",1,2018,"FIC","FIC_Gen__Jrnl_",7858,55
"4033203",5002905,"define",2,2019,"FIC","FIC_Gen__Jrnl_",3781,50
"4035541",5002924,"define",1,2019,"FIC","FIC_Gen__Jrnl_",5206,59
"4044383",5002998,"define",1,2019,"FIC","FIC_SciFi_Fant",7423,46
"4045522",5003008,"define",1,2019,"FIC","FIC_Gen__Jrnl_",10218,43
"4061991",5003241,"define",1,2018,"FIC","FIC_Gen__Jrnl_",9346,72
"4064334",5003277,"define",1,2019,"FIC","FIC_Gen__Jrnl_",6997,59
"4065159",5003294,"define",1,2019,"FIC","FIC_Gen__Jrnl_",8345,39
"4068068",5003326,"define",1,2018,"FIC","FIC_Gen__Jrnl_",9169,60
"4075017",5003408,"define",1,2018,"FIC","FIC_Gen__Jrnl_",9400,45
"4075497",5003412,"define",1,2018,"FIC","FIC_Gen__Jrnl_",7207,80
"4077650",5003457,"define",1,2018,"FIC","FIC_SciFi_Fant",9901,90
"4086541",5003630,"define",1,2019,"FIC","FIC_Gen__Jrnl_",9170,78
"4089183",5003658,"define",1,2019,"FIC","FIC_Gen__Jrnl_",2380,5
"4089748",5003664,"define",1,2019,"FIC","FIC_Gen__Jrnl_",5508,56
"4090954",5003672,"define",1,2019,"FIC","FIC_Gen__Jrnl_",2623,87
"4092136",5003681,"define",1,2019,"FIC","FIC_Gen__Jrnl_",5531,6
"4093984",5003702,"define",1,2018,"FIC","FIC_Gen__Jrnl_",2608,95
"4094864",5003713,"define",1,2019,"FIC","FIC_Gen__Jrnl_",7764,26
"4095344",5003717,"define",1,2019,"FIC","FIC_Gen__Jrnl_",7369,49
"4095496",5003718,"define",1,2019,"FIC","FIC_Gen__Jrnl_",9411,22
"4099077",5003750,"define",1,2018,"FIC","FIC_Gen__Jrnl_",4258,88
"4099525",5003754,"define",1,2018,"FIC","FIC_Gen__Jrnl_",5690,68
"4103757",5003812,"define",1,2018,"FIC","FIC_Gen__Jrnl_",4542,19
"4103996",5003815,"define",2,2019,"FIC","FIC_Gen__Jrnl_",7409,48
"4104729",5003825,"define",1,2019,"FIC","FIC_Gen__Jrnl_",3916,15
"4104877",5003826,"define",1,2019,"FIC","FIC_Gen__Jrnl_",3307,70
"4106785",5003845,"define",1,2019,"FIC","FIC_Gen__Jrnl_",8546,42
"4107471",5003850,"define",1,2019,"FIC","FIC_Gen__Jrnl_",8604,44
"4109102",5003864,"define",1,2019,"FIC","FIC_Gen__Jrnl_",4998,86
"4113817",5003919,"define",1,2018,"FIC","FIC_Gen__Jrnl_",6952,86
"4114257",5003923,"define",2,2018,"FIC","FIC_Gen__Jrnl_",4757,89
"4119535",5003970,"define",1,2019,"FIC","FIC_Gen__Jrnl_",9290,47
"4122977",5004024,"define",1,2019,"FIC","FIC_SciFi_Fant",3562,65
"4123834",5004030,"define",1,2019,"FIC","FIC_SciFi_Fant",5898,48
"4124284",5004035,"define",2,2019,"FIC","FIC_SciFi_Fant",3805,14
"4124653",5004038,"define",1,2019,"FIC","FIC_SciFi_Fant",12119,37
"4126303",5004051,"define",2,2019,"FIC","FIC_SciFi_Fant",8529,23
"4132521",5004108,"define",1,2018,"FIC","FIC_SciFi_Fant",46002,98
"4133022",5004110,"define",1,2018,"FIC","FIC_SciFi_Fant",5238,3
"4137423",5004147,"define",2,2018,"FIC","FIC_SciFi_Fant",28581,97
"4138508",5004155,"define",1,2019,"FIC","FIC_SciFi_Fant",16318,22
"4139362",5004162,"define",1,2019,"FIC","FIC_SciFi_Fant",12148,15
"4139546",5004163,"define",1,2019,"FIC","FIC_SciFi_Fant",9175,5
"4140548",5004169,"define",1,2019,"FIC","FIC_SciFi_Fant",21580,69
"4143280",5004194,"define",1,2019,"FIC","FIC_SciFi_Fant",6187,54
"4144581",5004206,"define",2,2019,"FIC","FIC_SciFi_Fant",26055,24
"4144820",5004207,"define",1,2019,"FIC","FIC_SciFi_Fant",5815,66
"4145028",5004209,"define",1,2019,"FIC","FIC_SciFi_Fant",7186,61
"4147722",5004235,"define",2,2019,"FIC","FIC_SciFi_Fant",2199,88
"4148186",5004240,"define",1,2019,"FIC","FIC_SciFi_Fant",9657,58
"4148527",5004242,"define",1,2019,"FIC","FIC_SciFi_Fant",10138,8
"4150569",5025596,"define",20,2018,"ACAD","ACAD_Sci_Tech",14461,100
"4150773",5025597,"define",9,2018,"ACAD","ACAD_Sci_Tech",14771,24
"4151009",5025598,"define",2,2018,"ACAD","ACAD_Geog_SocSci",10522,66
"4151239",5025599,"define",4,2018,"ACAD","ACAD_Geog_SocSci",11017,3
"4151641",5025601,"define",3,2019,"ACAD","ACAD_Business",13564,35
"4151878",5025602,"define",1,2019,"ACAD","ACAD_Education",14151,25
"4152080",5025603,"define",13,2019,"ACAD","ACAD_Geog_SocSci",13897,29
"4152270",5025605,"define",1,2018,"ACAD","ACAD_Misc",9932,12
"4152586",5025615,"define",1,2018,"ACAD","ACAD_Sci_Tech",6475,15
"4153512",5025630,"define",6,2019,"ACAD","ACAD_Education",11761,76
