"","text_id","lemma","n_tokens","year","genre","subgenre","word_count","random_id"
"4154232",5025652,"define",4,2019,"ACAD","ACAD_Humanities",2227,62
"4154382",5025654,"define",4,2019,"ACAD","ACAD_Education",1849,83
"4154455",5025658,"define",1,2019,"ACAD","ACAD_Misc",4341,51
"4154545",5025659,"define",2,2019,"ACAD","ACAD_Medicine",4179,31
"4154696",5025662,"define",2,2019,"ACAD","ACAD_Geog_SocSci",6819,88
"4154867",5025666,"define",1,2019,"ACAD","ACAD_Medicine",4510,93
"4155357",5025675,"define",1,2019,"ACAD","ACAD_Sci_Tech",12422,86
"4155595",5025677,"define",4,2019,"ACAD","ACAD_Sci_Tech",8064,49
"4155876",5025680,"define",1,2019,"ACAD","ACAD_Sci_Tech",13059,41
"4155980",5025681,"define",1,2019,"ACAD","ACAD_Sci_Tech",8146,14
"4156024",5025683,"define",1,2019,"ACAD","ACAD_Sci_Tech",4918,59
"4156182",5025685,"define",3,2019,"ACAD","ACAD_Medicine",7523,96
"4156327",5025686,"define",1,2019,"ACAD","ACAD_Business",6550,96
"4156477",5025687,"define",1,2019,"ACAD","ACAD_Business",5409,2
"4156851",5025690,"define",1,2019,"ACAD","ACAD_Medicine",7444,89
"4156915",5025693,"define",2,2019,"ACAD","ACAD_Law_PolSci",4923,60
"4157059",5025695,"define",2,2019,"ACAD","ACAD_Medicine",6825,84
"4157175",5025696,"define",1,2019,"ACAD","ACAD_Business",7018,52
"4157320",5025697,"define",2,2019,"ACAD","ACAD_Medicine",3645,21
"4157414",5025698,"define",1,2019,"ACAD","ACAD_Geog_SocSci",6589,36
"4157783",5025701,"define",1,2019,"ACAD","ACAD_Business",8538,5
"4158033",5025703,"define",1,2019,"ACAD","ACAD_Sci_Tech",2659,82
"4158116",5025704,"define",2,2019,"ACAD","ACAD_Medicine",5042,100
"4158340",5025706,"define",1,2019,"ACAD","ACAD_Medicine",11274,14
"4158794",5025709,"define",3,2019,"ACAD","ACAD_Sci_Tech",8604,42
"4158984",5025712,"define",8,2019,"ACAD","ACAD_Sci_Tech",10703,27
"4159153",5025714,"define",15,2019,"ACAD","ACAD_Sci_Tech",27689,2
"4159368",5025719,"define",14,2019,"ACAD","ACAD_Sci_Tech",7881,47
"4159488",5025720,"define",19,2019,"ACAD","ACAD_Sci_Tech",14321,67
"4159681",5025721,"define",6,2019,"ACAD","ACAD_Geog_SocSci",15158,12
"4159824",5025724,"define",8,2019,"ACAD","ACAD_Sci_Tech",11622,7
"4159908",5025725,"define",10,2019,"ACAD","ACAD_Geog_SocSci",12209,10
"4160213",5025727,"define",3,2019,"ACAD","ACAD_Sci_Tech",14125,66
"4160631",5025730,"define",1,2019,"ACAD","ACAD_Medicine",8692,41
"4160784",5025731,"define",3,2019,"ACAD","ACAD_Medicine",17060,27
"4160897",5025733,"define",1,2019,"ACAD","ACAD_Sci_Tech",7515,62
"4161023",5025734,"define",2,2019,"ACAD","ACAD_Medicine",8979,78
"4161178",5025735,"define",3,2019,"ACAD","ACAD_Medicine",30816,10
"4161399",5025736,"define",3,2019,"ACAD","ACAD_Medicine",7761,64
"4161923",5025740,"define",8,2019,"ACAD","ACAD_Medicine",17993,24
"4162117",5025741,"define",6,2019,"ACAD","ACAD_Sci_Tech",17082,41
"4162427",5025743,"define",1,2019,"ACAD","ACAD_Sci_Tech",10692,50
"4162591",5025744,"define",3,2019,"ACAD","ACAD_Sci_Tech",18895,82
"4162889",5025750,"define",6,2019,"ACAD","ACAD_Sci_Tech",16249,5
"4163090",5025751,"define",1,2019,"ACAD","ACAD_Sci_Tech",16987,80
"4163255",5025752,"define",5,2019,"ACAD","ACAD_Sci_Tech",17357,9
"4163411",5025753,"define",7,2019,"ACAD","ACAD_Sci_Tech",12941,72
"4163596",5025754,"define",2,2019,"ACAD","ACAD_Sci_Tech",10194,12
"4163874",5025756,"define",3,2019,"ACAD","ACAD_Sci_Tech",7317,48
"4164037",5025757,"define",1,2019,"ACAD","ACAD_Sci_Tech",14433,46
"4164234",5025758,"define",3,2019,"ACAD","ACAD_Medicine",11388,9
"4164649",5025761,"define",7,2019,"ACAD","ACAD_Sci_Tech",10779,19
"4164812",5025766,"define",2,2019,"ACAD","ACAD_Medicine",7698,88
"4165003",5025768,"define",2,2019,"ACAD","ACAD_Sci_Tech",26150,56
"4165141",5025769,"define",2,2019,"ACAD","ACAD_Sci_Tech",7711,17
"4165333",5025770,"define",5,2019,"ACAD","ACAD_Medicine",27821,29
"4165724",5025773,"define",1,2019,"ACAD","ACAD_Sci_Tech",16441,13
"4165864",5025777,"define",2,2019,"ACAD","ACAD_Sci_Tech",9259,20
"4166023",5025778,"define",1,2019,"ACAD","ACAD_Sci_Tech",11423,79
"4166184",5025779,"define",1,2019,"ACAD","ACAD_Education",6628,9
"4166273",5025782,"define",2,2019,"ACAD","ACAD_Medicine",7122,17
"4166405",5025783,"define",2,2019,"ACAD","ACAD_Sci_Tech",10239,61
"4166526",5025784,"define",7,2019,"ACAD","ACAD_Sci_Tech",9610,63
"4166708",5025785,"define",1,2019,"ACAD","ACAD_Business",15214,37
"4166946",5025786,"define",3,2019,"ACAD","ACAD_Sci_Tech",12077,18
"4167137",5025788,"define",3,2019,"ACAD","ACAD_Geog_SocSci",15014,93
"4167441",5025790,"define",8,2019,"ACAD","ACAD_Business",9372,77
"4167635",5025791,"define",2,2019,"ACAD","ACAD_Education",13829,16
"4167882",5025792,"define",3,2019,"ACAD","ACAD_Geog_SocSci",25350,46
"4168238",5025795,"define",1,2018,"ACAD","ACAD_Education",9742,28
"4168347",5025796,"define",1,2018,"ACAD","ACAD_Business",7345,99
"4168906",5025801,"define",3,2018,"ACAD","ACAD_Business",12595,87
"4169554",5025806,"define",2,2018,"ACAD","ACAD_Geog_SocSci",8493,50
"4169725",5025807,"define",2,2018,"ACAD","ACAD_Geog_SocSci",9160,65
"4169902",5025808,"define",3,2018,"ACAD","ACAD_Geog_SocSci",7715,21
"4170492",5025814,"define",1,2019,"ACAD","ACAD_Geog_SocSci",12443,13
"4170937",5025817,"define",4,2019,"ACAD","ACAD_Geog_SocSci",14105,4
"4171266",5025819,"define",2,2019,"ACAD","ACAD_Geog_SocSci",10224,45
"4171439",5025821,"define",1,2019,"ACAD","ACAD_Geog_SocSci",16744,7
"4171687",5025824,"define",3,2018,"ACAD","ACAD_Geog_SocSci",7711,42
"4171873",5025825,"define",1,2018,"ACAD","ACAD_Geog_SocSci",7951,67
"4172337",5025828,"define",1,2018,"ACAD","ACAD_Geog_SocSci",10455,29
"4172603",5025831,"define",2,2018,"ACAD","ACAD_Geog_SocSci",6188,84
"4172727",5025832,"define",1,2018,"ACAD","ACAD_Geog_SocSci",6664,43
"4173035",5025834,"define",1,2018,"ACAD","ACAD_Geog_SocSci",5852,80
"4173522",5025836,"define",3,2019,"ACAD","ACAD_Law_PolSci",24775,46
"4173795",5025837,"define",23,2019,"ACAD","ACAD_Law_PolSci",26695,32
"4174253",5025839,"define",1,2019,"ACAD","ACAD_Law_PolSci",20797,90
"4174478",5025840,"define",3,2019,"ACAD","ACAD_Law_PolSci",19206,6
"4175207",5025844,"define",1,2019,"ACAD","ACAD_Law_PolSci",12945,2
"4177016",5025855,"define",3,2019,"ACAD","ACAD_Humanities",9695,38
"4177142",5025856,"define",4,2019,"ACAD","ACAD_Humanities",12920,51
"4177478",5025858,"define",1,2019,"ACAD","ACAD_Humanities",13148,42
"4177616",5025859,"define",1,2018,"ACAD","ACAD_Humanities",13912,83
"4178013",5025861,"define",1,2018,"ACAD","ACAD_Humanities",15969,5
"4178201",5025862,"define",1,2018,"ACAD","ACAD_Humanities",10968,30
"4178589",5025864,"define",2,2018,"ACAD","ACAD_Humanities",10440,35
"4178951",5025866,"define",2,2018,"ACAD","ACAD_Humanities",11494,63
"4179713",5025870,"define",1,2018,"ACAD","ACAD_Humanities",12416,58
"4180249",5025873,"define",1,2019,"ACAD","ACAD_Humanities",12689,56
"4180421",5025874,"define",10,2019,"ACAD","ACAD_Humanities",11337,25
"4180632",5025875,"define",1,2019,"ACAD","ACAD_Humanities",12157,20
"4180811",5025876,"define",1,2019,"ACAD","ACAD_Humanities",13594,14
"4181015",5025877,"define",1,2019,"ACAD","ACAD_Humanities",12953,72
"4181229",5025878,"define",1,2019,"ACAD","ACAD_Humanities",13358,40
"4181415",5025879,"define",1,2019,"ACAD","ACAD_Humanities",15089,67
"4181589",5025880,"define",2,2019,"ACAD","ACAD_Humanities",13441,87
"4181787",5025881,"define",2,2019,"ACAD","ACAD_Humanities",11281,9
"4181942",5025882,"define",1,2019,"ACAD","ACAD_History",5438,50
"4182012",5025883,"define",1,2018,"ACAD","ACAD_History",4138,24
"4182331",5025886,"define",1,2019,"ACAD","ACAD_Humanities",8712,90
"4182493",5025887,"define",1,2019,"ACAD","ACAD_Humanities",12009,57
"4182801",5025889,"define",1,2018,"ACAD","ACAD_Humanities",11257,98
"4182953",5025890,"define",6,2018,"ACAD","ACAD_Humanities",9526,88
"4183525",5025893,"define",9,2018,"ACAD","ACAD_Humanities",16078,85
"4183948",5025895,"define",1,2018,"ACAD","ACAD_Humanities",13439,75
"4184146",5025896,"define",2,2018,"ACAD","ACAD_Humanities",10398,24
"4184345",5025897,"define",1,2018,"ACAD","ACAD_Humanities",12161,80
"4184545",5025898,"define",1,2018,"ACAD","ACAD_Humanities",9590,21
"4184881",5025900,"define",4,2018,"ACAD","ACAD_Humanities",15656,82
"4185223",5025902,"define",1,2018,"ACAD","ACAD_Humanities",10427,53
"4185354",5025903,"define",2,2018,"ACAD","ACAD_Phil_Rel",12099,57
"4185507",5025904,"define",1,2018,"ACAD","ACAD_Phil_Rel",9032,99
"4186188",5025910,"define",2,2018,"ACAD","ACAD_Phil_Rel",13591,93
"4186392",5025911,"define",2,2018,"ACAD","ACAD_Phil_Rel",16192,6
"4186920",5025913,"define",1,2018,"ACAD","ACAD_Phil_Rel",12617,11
"4187111",5025914,"define",1,2018,"ACAD","ACAD_Phil_Rel",14351,53
"4187301",5025915,"define",1,2018,"ACAD","ACAD_Phil_Rel",20371,27
"4187916",5025918,"define",1,2018,"ACAD","ACAD_Phil_Rel",16137,74
"4189151",5025925,"define",3,2018,"ACAD","ACAD_Phil_Rel",17136,42
"4189724",5025928,"define",2,2019,"ACAD","ACAD_History",13828,23
"4190759",5025935,"define",5,2018,"ACAD","ACAD_History",12877,99
"4190931",5025936,"define",2,2018,"ACAD","ACAD_History",10318,65
"4191115",5025937,"define",5,2018,"ACAD","ACAD_History",11635,51
"4191492",5025940,"define",3,2018,"ACAD","ACAD_History",9925,91
"4191666",5025941,"define",3,2018,"ACAD","ACAD_History",10947,37
"4192310",5025945,"define",1,2018,"ACAD","ACAD_History",12142,12
"4192513",5025946,"define",4,2018,"ACAD","ACAD_History",11023,28
"4192689",5025947,"define",1,2018,"ACAD","ACAD_History",16856,16
"4193093",5025950,"define",1,2018,"ACAD","ACAD_History",11472,66
"4193422",5025952,"define",3,2019,"ACAD","ACAD_History",14303,78
"4193637",5025953,"define",2,2018,"ACAD","ACAD_Sci_Tech",12040,42
"4193849",5025954,"define",9,2018,"ACAD","ACAD_Business",32405,53
"4194155",5025955,"define",3,2018,"ACAD","ACAD_Humanities",14148,91
"4194411",5025956,"define",3,2018,"ACAD","ACAD_Law_PolSci",34284,16
"4194688",5025957,"define",1,2018,"ACAD","ACAD_Business",21880,73
"4194951",5025958,"define",2,2018,"ACAD","ACAD_Law_PolSci",23560,75
"4195209",5025959,"define",2,2018,"ACAD","ACAD_Phil_Rel",10072,23
"4195533",5025962,"define",15,2018,"ACAD","ACAD_Law_PolSci",44169,18
"4195766",5025964,"define",2,2018,"ACAD","ACAD_Sci_Tech",10489,88
"4196120",5025966,"define",2,2018,"ACAD","ACAD_Law_PolSci",39335,4
"4196412",5025967,"define",3,2018,"ACAD","ACAD_Phil_Rel",14120,76
"4196701",5025969,"define",1,2018,"ACAD","ACAD_Phil_Rel",9810,95
"4197551",5025976,"define",1,2018,"ACAD","ACAD_Geog_SocSci",7649,61
"4197826",5025978,"define",1,2018,"ACAD","ACAD_Sci_Tech",10512,92
"4197957",5025979,"define",1,2018,"ACAD","ACAD_Geog_SocSci",6740,28
"4198134",5025980,"define",1,2018,"ACAD","ACAD_Misc",9854,5
"4198844",5025984,"define",1,2018,"ACAD","ACAD_Education",8769,79
"4199309",5025987,"define",1,2018,"ACAD","ACAD_Business",12471,90
"4199726",5025989,"define",4,2018,"ACAD","ACAD_Education",19877,99
"4200161",5025991,"define",3,2019,"ACAD","ACAD_Business",11257,81
"4200398",5025993,"define",1,2018,"ACAD","ACAD_Sci_Tech",15993,16
"4201311",5026000,"define",1,2018,"ACAD","ACAD_Geog_SocSci",10613,54
"4201529",5026001,"define",6,2018,"ACAD","ACAD_History",61697,43
"4202102",5026005,"define",5,2019,"ACAD","ACAD_Law_PolSci",30356,10
"4202364",5026007,"define",3,2019,"ACAD","ACAD_Education",11342,54
"4202548",5026012,"define",1,2019,"ACAD","ACAD_Education",8034,2
"4202985",5026015,"define",1,2019,"ACAD","ACAD_Sci_Tech",9070,34
"4203555",5026020,"define",1,2018,"ACAD","ACAD_Law_PolSci",8573,65
"4203969",5026022,"define",2,2018,"ACAD","ACAD_Law_PolSci",6677,71
"4204090",5026023,"define",5,2018,"ACAD","ACAD_Education",6953,12
"4205188",5026031,"define",6,2018,"ACAD","ACAD_Sci_Tech",10572,28
"4205283",5026032,"define",1,2018,"ACAD","ACAD_Phil_Rel",7495,84
"4205538",5026035,"define",2,2018,"ACAD","ACAD_Law_PolSci",37927,82
"4205802",5026036,"define",3,2018,"ACAD","ACAD_Law_PolSci",18431,34
"4205936",5026037,"define",1,2018,"ACAD","ACAD_Sci_Tech",11554,49
"4206110",5026038,"define",4,2018,"ACAD","ACAD_Geog_SocSci",7459,1
"4206254",5026039,"define",1,2018,"ACAD","ACAD_Medicine",7786,26
"4206382",5026040,"define",6,2018,"ACAD","ACAD_Sci_Tech",6949,89
"4206524",5026041,"define",1,2018,"ACAD","ACAD_Sci_Tech",13878,57
"4206704",5026043,"define",3,2018,"ACAD","ACAD_Business",8260,80
"4207325",5026050,"define",7,2018,"ACAD","ACAD_Sci_Tech",9042,58
"4207456",5026051,"define",9,2018,"ACAD","ACAD_Sci_Tech",8543,22
"4208019",5026055,"define",7,2018,"ACAD","ACAD_Sci_Tech",10223,47
"4208181",5026056,"define",4,2018,"ACAD","ACAD_Law_PolSci",18092,58
"4208336",5026057,"define",3,2018,"ACAD","ACAD_Geog_SocSci",11648,45
"4208419",5026058,"define",1,2018,"ACAD","ACAD_Law_PolSci",13205,3
"4208524",5026059,"define",2,2018,"ACAD","ACAD_Sci_Tech",7624,70
"4208865",5026061,"define",3,2018,"ACAD","ACAD_Law_PolSci",17017,86
"4209332",5026064,"define",3,2018,"ACAD","ACAD_Business",9092,81
"4209522",5026065,"define",1,2018,"ACAD","ACAD_Geog_SocSci",8465,97
"4209714",5026066,"define",1,2018,"ACAD","ACAD_Law_PolSci",8522,28
"4209968",5026068,"define",2,2018,"ACAD","ACAD_Law_PolSci",7436,11
"4210379",5026076,"define",2,2019,"ACAD","ACAD_Medicine",3773,91
"4210582",5026078,"define",5,2019,"ACAD","ACAD_Medicine",6370,90
"4210722",5026079,"define",3,2019,"ACAD","ACAD_Phil_Rel",5828,49
"4210880",5026080,"define",2,2019,"ACAD","ACAD_Medicine",5199,55
"4210989",5026081,"define",7,2019,"ACAD","ACAD_Sci_Tech",3587,40
"4211085",5026082,"define",8,2019,"ACAD","ACAD_Medicine",6916,100
"4211180",5026083,"define",1,2019,"ACAD","ACAD_Medicine",5873,54
"4211284",5026084,"define",5,2019,"ACAD","ACAD_Medicine",5429,6
"4211387",5026090,"define",1,2019,"ACAD","ACAD_Sci_Tech",2960,60
"4211619",5026093,"define",3,2019,"ACAD","ACAD_Sci_Tech",11436,45
"4211788",5026096,"define",2,2019,"ACAD","ACAD_Geog_SocSci",11836,5
"4211943",5026097,"define",5,2019,"ACAD","ACAD_Sci_Tech",8678,68
"4212206",5026099,"define",20,2019,"ACAD","ACAD_Sci_Tech",7606,37
"4212326",5026100,"define",1,2019,"ACAD","ACAD_Medicine",6173,61
"4212450",5026101,"define",2,2019,"ACAD","ACAD_Sci_Tech",10310,32
"4212937",5026104,"define",2,2019,"ACAD","ACAD_Phil_Rel",12679,41
"4213403",5026107,"define",1,2019,"ACAD","ACAD_Sci_Tech",8588,30
"4213526",5026108,"define",2,2019,"ACAD","ACAD_Humanities",4453,99
"4214037",5026112,"define",1,2019,"ACAD","ACAD_Law_PolSci",8040,79
"4214235",5026113,"define",1,2019,"ACAD","ACAD_Geog_SocSci",10832,6
"4214501",5026119,"define",1,2019,"ACAD","ACAD_Humanities",4976,66
"4214833",5026122,"define",6,2019,"ACAD","ACAD_Humanities",3646,6
"4214934",5026123,"define",4,2019,"ACAD","ACAD_Medicine",3013,79
"4215030",5026124,"define",2,2019,"ACAD","ACAD_Medicine",6383,35
"4215167",5026125,"define",1,2019,"ACAD","ACAD_Business",3658,31
"4215392",5026127,"define",2,2019,"ACAD","ACAD_Humanities",4746,13
"4215944",5026139,"define",2,2019,"ACAD","ACAD_Geog_SocSci",8039,97
"4216275",5026142,"define",5,2019,"ACAD","ACAD_Business",2963,40
"4216571",5026146,"define",1,2018,"ACAD","ACAD_Humanities",9898,65
"4216794",5026150,"define",1,2018,"ACAD","ACAD_Business",26175,43
"4217079",5026151,"define",5,2018,"ACAD","ACAD_Business",12007,5
"4217378",5026153,"define",1,2018,"ACAD","ACAD_Education",10958,93
"4217685",5026156,"define",1,2018,"ACAD","ACAD_Business",9068,28
"4217832",5026157,"define",2,2018,"ACAD","ACAD_Business",9793,12
"4218308",5026160,"define",7,2018,"ACAD","ACAD_Sci_Tech",11720,44
"4218491",5026161,"define",2,2018,"ACAD","ACAD_Geog_SocSci",15504,100
"4218660",5026163,"define",3,2019,"ACAD","ACAD_Sci_Tech",9685,10
"4218823",5026164,"define",1,2019,"ACAD","ACAD_Geog_SocSci",5631,86
"4218947",5026165,"define",1,2019,"ACAD","ACAD_Geog_SocSci",5518,76
"4219125",5026167,"define",1,2019,"ACAD","ACAD_Medicine",4280,74
"4219236",5026168,"define",1,2019,"ACAD","ACAD_Sci_Tech",6601,4
"4219557",5026179,"define",1,2019,"ACAD","ACAD_Law_PolSci",5857,17
"4219708",5026182,"define",1,2019,"ACAD","ACAD_Education",2561,52
"4219815",5026183,"define",8,2019,"ACAD","ACAD_Sci_Tech",7978,25
"4219981",5026184,"define",1,2019,"ACAD","ACAD_Sci_Tech",13901,91
"4220416",5026190,"define",6,2019,"ACAD","ACAD_Medicine",6094,44
"4220521",5026191,"define",2,2019,"ACAD","ACAD_Business",6838,26
"4220638",5026194,"define",3,2019,"ACAD","ACAD_Sci_Tech",25060,92
"4220899",5026196,"define",1,2019,"ACAD","ACAD_Geog_SocSci",12856,33
"4221122",5026197,"define",6,2019,"ACAD","ACAD_Geog_SocSci",8929,82
"4221355",5026199,"define",1,2019,"ACAD","ACAD_Education",3180,11
"4221628",5026201,"define",1,2019,"ACAD","ACAD_Medicine",6367,58
"4222118",5026204,"define",1,2019,"ACAD","ACAD_History",14541,3
"4222537",5026206,"define",4,2019,"ACAD","ACAD_History",12915,48
"4222755",5026207,"define",1,2019,"ACAD","ACAD_History",12256,74
"4223419",5026210,"define",4,2019,"ACAD","ACAD_History",15080,68
"4223761",5026212,"define",1,2019,"ACAD","ACAD_History",17832,40
"4224000",5026213,"define",1,2019,"ACAD","ACAD_History",15045,97
"4224318",5026215,"define",2,2019,"ACAD","ACAD_History",13602,49
"4224785",5026218,"define",1,2019,"ACAD","ACAD_Geog_SocSci",6919,89
"4225545",5026226,"define",5,2019,"ACAD","ACAD_Geog_SocSci",12364,95
"4225838",5026228,"define",1,2019,"ACAD","ACAD_Geog_SocSci",10072,98
"4226046",5026229,"define",1,2019,"ACAD","ACAD_Geog_SocSci",9785,14
"4226481",5026232,"define",2,2019,"ACAD","ACAD_Geog_SocSci",10216,51
"4226718",5026234,"define",2,2019,"ACAD","ACAD_Geog_SocSci",9742,19
"4226818",5026235,"define",1,2019,"ACAD","ACAD_Geog_SocSci",9958,91
"4227106",5026238,"define",2,2019,"ACAD","ACAD_Geog_SocSci",10986,80
"4227329",5026239,"define",1,2018,"ACAD","ACAD_Geog_SocSci",11242,78
"4227492",5026240,"define",8,2018,"ACAD","ACAD_Geog_SocSci",13342,41
"4227873",5026242,"define",2,2018,"ACAD","ACAD_Geog_SocSci",11362,13
"4227971",5026243,"define",1,2018,"ACAD","ACAD_Geog_SocSci",9937,11
"4228122",5026245,"define",1,2018,"ACAD","ACAD_Geog_SocSci",10460,94
"4228302",5026246,"define",1,2018,"ACAD","ACAD_Geog_SocSci",9830,37
"4228599",5026248,"define",3,2018,"ACAD","ACAD_Geog_SocSci",8676,99
"4228754",5026249,"define",13,2018,"ACAD","ACAD_Geog_SocSci",9198,79
"4228982",5026251,"define",1,2018,"ACAD","ACAD_Geog_SocSci",4747,48
"4229147",5026254,"define",1,2018,"ACAD","ACAD_Geog_SocSci",4631,39
"4229272",5026258,"define",3,2018,"ACAD","ACAD_Geog_SocSci",10074,21
"4229440",5026259,"define",2,2018,"ACAD","ACAD_Geog_SocSci",10290,81
"4229692",5026261,"define",2,2018,"ACAD","ACAD_Misc",10106,45
"4229943",5026263,"define",1,2018,"ACAD","ACAD_History",18851,75
"4230131",5026264,"define",7,2018,"ACAD","ACAD_Geog_SocSci",8948,35
"4230356",5026265,"define",2,2018,"ACAD","ACAD_Business",20724,46
"4230601",5026267,"define",1,2019,"ACAD","ACAD_Geog_SocSci",7352,20
"4230911",5026269,"define",1,2019,"ACAD","ACAD_Sci_Tech",8550,52
"4231228",5026272,"define",2,2019,"ACAD","ACAD_Law_PolSci",13904,37
"4231696",5026276,"define",4,2019,"ACAD","ACAD_Sci_Tech",12775,71
"4231861",5026278,"define",1,2019,"ACAD","ACAD_Business",29186,8
"4232074",5026280,"define",2,2019,"ACAD","ACAD_Geog_SocSci",14710,100
"4232351",5026283,"define",2,2019,"ACAD","ACAD_Geog_SocSci",12539,65
"4232658",5026287,"define",1,2019,"ACAD","ACAD_Geog_SocSci",9891,42
"4232792",5026288,"define",15,2019,"ACAD","ACAD_Geog_SocSci",13876,35
