"speaker","count","total","rate"
"S0162",45,10286,0.0043748784755979
"S0163",0,643,0
"S0164",0,683,0
"S0165",1,648,0.00154320987654321
"S0166",0,835,0
"S0167",92,56570,0.00162630369453774
"S0168",1,441,0.00226757369614512
"S0169",5,3271,0.00152858453072455
"S0170",9,12958,0.000694551628337706
"S0171",25,7720,0.00323834196891192
"S0172",10,6642,0.00150557061126167
"S0173",23,9440,0.0024364406779661
"S0174",2,1003,0.00199401794616152
"S0175",7,3727,0.00187818620874698
"S0176",1,1848,0.000541125541125541
"S0177",5,2347,0.00213037920749893
"S0178",0,585,0
"S0179",429,96053,0.00446628423890977
"S0180",20,21640,0.000924214417744917
"S0181",15,3537,0.00424088210347752
"S0182",16,2721,0.00588019110621095
"S0183",8,3360,0.00238095238095238
"S0184",0,2724,0
"S0185",0,1822,0
"S0186",7,2125,0.00329411764705882
"S0187",22,14558,0.00151119659293859
"S0188",2,4723,0.000423459665466864
"S0189",30,18023,0.00166453975475781
"S0190",6,24564,0.000244259892525647
"S0191",0,1621,0
"S0192",481,362107,0.00132833665187362
"S0193",3,12395,0.000242033077853973
"S0194",24,11835,0.00202788339670469
"S0195",17,5598,0.00303679885673455
"S0196",11,10981,0.00100173026136053
"S0197",15,17059,0.000879301248607773
"S0198",252,164818,0.00152895921561965
"S0199",25,52249,0.000478478056996306
"S0200",2,2773,0.000721240533717995
"S0201",1,564,0.00177304964539007
"S0202",111,117720,0.000942915392456677
"S0203",6,19895,0.000301583312390048
"S0204",13,12326,0.00105468116177186
"S0205",5,7688,0.000650364203954214
"S0206",15,10286,0.0014582928251993
"S0207",23,8995,0.00255697609783213
"S0208",140,63967,0.00218862851157628
"S0209",3,1501,0.00199866755496336
"S0210",2,2053,0.000974184120798831
"S0211",18,14901,0.0012079726192873
"S0212",1,4167,0.000239980801535877
"S0213",1,604,0.00165562913907285
"S0214",3,1833,0.0016366612111293
"S0215",0,581,0
"S0216",10,11012,0.000908100254268071
"S0217",0,427,0
"S0218",4,3917,0.00102118968598417
"S0219",3,3608,0.000831485587583149
"S0220",16,14393,0.00111165149725561
"S0221",24,9056,0.00265017667844523
"S0222",9,11380,0.000790861159929701
"S0223",7,2449,0.00285830951408738
"S0224",4,856,0.00467289719626168
"S0225",0,229,0
"S0227",77,81006,0.000950546873071131
"S0228",19,15015,0.00126540126540127
"S0229",4,21996,0.000181851245681033
"S0230",19,23145,0.000820911643983582
"S0231",4,7613,0.000525417049783265
"S0232",2,6738,0.000296823983377857
"S0233",26,8446,0.00307838029836609
"S0234",35,8678,0.00403318737036183
"S0235",44,36352,0.00121038732394366
"S0236",10,15999,0.000625039064941559
"S0237",5,7875,0.000634920634920635
"S0238",160,40385,0.00396186702983781
"S0239",19,8275,0.00229607250755287
"S0240",17,8597,0.00197743398860067
"S0241",69,15117,0.00456439769795594
"S0242",0,3006,0
"S0243",2,3460,0.000578034682080925
"S0244",0,3881,0
"S0245",5,11625,0.00043010752688172
"S0246",53,23793,0.00222754591686631
"S0247",7,5604,0.00124910778015703
"S0248",21,4271,0.00491688129243737
"S0249",22,13219,0.00166427112489598
"S0250",12,6051,0.00198314328210213
"S0251",30,32725,0.000916730328495034
"S0252",26,29362,0.000885498263061099
"S0253",23,44002,0.00052270351347666
"S0254",24,22832,0.00105115627189909
"S0255",419,130992,0.00319866862098449
"S0256",51,35547,0.00143472022955524
"S0257",53,41046,0.00129123422501584
"S0258",23,8776,0.0026207839562443
"S0259",7,15354,0.000455907255438322
"S0260",2,6822,0.000293169158604515
"S0261",91,62528,0.00145534800409417
"S0262",600,169739,0.00353483878189456
"S0263",4,3032,0.00131926121372032
"S0264",17,11066,0.00153623712271824
"S0265",8,4428,0.001806684733514
"S0266",25,17787,0.00140552088604037
"S0267",30,6414,0.00467726847521048
"S0268",15,14070,0.00106609808102345
"S0269",1,9767,0.000102385584109757
"S0270",23,8352,0.00275383141762452
"S0271",9,9912,0.000907990314769976
"S0272",37,7918,0.00467289719626168
"S0273",2,4397,0.000454855583352286
"S0274",6,8796,0.000682128240109141
"S0275",25,14643,0.0017073004165813
"S0276",5,10038,0.000498107192667862
"S0278",108,106913,0.00101016714524894
"S0280",1,1025,0.000975609756097561
"S0281",51,46366,0.00109994392442738
"S0282",239,61133,0.00390950877594752
"S0283",19,7217,0.00263267285575724
"S0284",12,4367,0.00274788184108083
"S0285",11,5921,0.00185779429150481
"S0286",9,3742,0.00240513094601817
"S0287",16,5778,0.00276912426445137
"S0288",7,3478,0.00201265094882116
"S0289",31,11230,0.00276046304541407
"S0290",5,3725,0.00134228187919463
"S0291",2,3701,0.000540394487976223
"S0292",2,4031,0.000496154800297693
"S0293",37,8240,0.00449029126213592
"S0294",9,5629,0.0015988630307337
"S0295",0,890,0
"S0297",24,7657,0.00313438683557529
"S0298",6,2098,0.00285986653956149
"S0299",19,15774,0.00120451375681501
"S0300",11,10692,0.00102880658436214
"S0301",38,6519,0.00582911489492253
"S0302",5,3813,0.001311303435615
"S0303",39,17420,0.00223880597014925
"S0304",11,4578,0.00240279598077763
"S0305",11,2496,0.00440705128205128
"S0306",3,1044,0.0028735632183908
"S0307",7,3459,0.00202370627348945
"S0308",10,6419,0.00155787505842031
"S0309",20,8574,0.00233263354327035
"S0310",20,5637,0.00354798651765123
"S0311",1,2371,0.000421762969211303
"S0312",2,1379,0.00145032632342277
"S0313",2,3093,0.000646621403168445
"S0314",13,7475,0.00173913043478261
"S0315",18,15766,0.00114169732335405
"S0316",16,13776,0.00116144018583043
"S0317",4,4128,0.000968992248062015
"S0318",10,7704,0.00129802699896158
"S0319",9,11859,0.000758917278016696
"S0320",136,37234,0.00365257560294355
"S0321",19,4643,0.00409218177902218
"S0322",35,14694,0.00238192459507282
"S0323",10,6240,0.0016025641025641
"S0324",73,28467,0.00256437278252011
"S0325",120,45925,0.00261295590636908
"S0326",131,95797,0.00136747497312024
"S0327",51,28127,0.00181320439435418
"S0328",104,77855,0.00133581658210776
"S0329",42,32818,0.00127978548357609
"S0330",50,43009,0.00116254737380548
"S0331",25,36000,0.000694444444444444
"S0334",10,6759,0.00147950880307738
"S0335",33,9651,0.00341933478396021
"S0336",222,97971,0.0022659766665646
"S0337",55,48809,0.00112684136122436
"S0338",9,20909,0.000430436654072409
"S0339",34,17811,0.00190893268205042
"S0340",0,330,0
"S0341",7,1995,0.00350877192982456
"S0342",8,5566,0.00143729787998563
"S0343",2,7374,0.00027122321670735
"S0344",20,18377,0.00108831691788649
"S0345",16,4669,0.00342685799957164
"S0346",11,9499,0.00115801663332982
"S0347",1,2996,0.000333778371161549
"S0349",6,5389,0.00111337910558545
"S0350",12,6773,0.00177174073527241
"S0351",0,529,0
"S0352",5,8670,0.000576701268742791
"S0353",10,15133,0.000660807506773277
"S0354",17,9698,0.00175293875025779
"S0355",2,17627,0.000113462302150111
"S0356",0,714,0
"S0357",8,3337,0.00239736290080911
"S0358",3,6703,0.000447560793674474
"S0359",2,716,0.00279329608938547
"S0360",6,5852,0.00102529049897471
"S0361",15,5309,0.00282539084573366
"S0362",17,11261,0.00150963502353255
"S0363",6,8120,0.000738916256157636
"S0364",4,4635,0.000862998921251348
"S0365",3,1941,0.00154559505409583
"S0366",4,2362,0.00169348010160881
"S0367",5,1827,0.00273672687465791
"S0368",3,15084,0.000198886237072395
"S0369",52,39869,0.00130427148912689
"S0370",25,21899,0.00114160463948125
"S0371",3,6071,0.00049415252841377
"S0372",7,9479,0.000738474522628969
"S0373",0,385,0
"S0374",2,4017,0.000497883993029624
"S0375",10,7645,0.0013080444735121
"S0376",0,5691,0
"S0377",3,4013,0.00074757039621231
"S0378",19,5094,0.00372987828818218
"S0379",1,5571,0.00017950098725543
"S0380",8,5605,0.00142729705619982
"S0381",14,10164,0.00137741046831956
"S0382",31,18905,0.00163977783655118
"S0383",47,19409,0.00242155700963471
"S0384",4,3886,0.00102933607822954
"S0386",8,3034,0.002636783124588
"S0387",3,3176,0.000944584382871536
"S0388",5,3078,0.00162443144899285
"S0389",6,3819,0.00157109190887667
"S0390",32,19073,0.00167776437896503
"S0391",17,40040,0.000424575424575425
"S0392",53,63623,0.000833032079593858
"S0393",12,19711,0.000608797118360306
"S0394",1,1595,0.000626959247648903
"S0395",2,1643,0.00121728545343883
"S0396",0,256,0
"S0397",13,11168,0.00116404011461318
"S0398",1,1351,0.00074019245003701
"S0399",1,1047,0.000955109837631328
"S0400",4,2610,0.00153256704980843
"S0401",1,3034,0.0003295978905735
"S0402",10,18137,0.000551359100181949
"S0403",1,1441,0.000693962526023595
"S0404",1,1304,0.000766871165644172
"S0405",46,61634,0.000746341305123795
"S0406",0,699,0
"S0407",4,1163,0.00343938091143594
"S0408",0,1641,0
"S0409",2,2420,0.000826446280991736
"S0410",1,1080,0.000925925925925926
"S0411",20,9687,0.00206462269020337
"S0412",0,259,0
"S0413",0,36,0
"S0414",0,43,0
"S0415",62,26941,0.00230132511785012
"S0416",71,49647,0.00143009648115697
"S0417",207,88937,0.0023274902459044
"S0418",0,2547,0
"S0419",3,13633,0.000220054280055747
"S0420",5,7682,0.000650872168706066
"S0421",26,52213,0.000497960278091663
"S0422",2,4749,0.000421141292903769
"S0423",15,54877,0.00027333855713687
"S0424",8,15083,0.000530398461844461
"S0425",2,1841,0.00108636610537751
"S0426",7,12218,0.000572925192339172
"S0427",11,18194,0.00060459492140266
"S0428",37,37612,0.000983728597256195
"S0429",7,3246,0.00215650030807147
